ID,Player Name,Name in FPL,Position,Team,News,Teams Selected By %,PPG,PPG Rank (Position),PPG Rank (All),,xPoints Upcoming GW,xPoints Next GW,Starts,Minutes Played,Goals,Assists,xG,xG per 90,xA,xA per 90,xGI,xGI per 90,Clean Sheets,Clean Sheets per 90,Goals Conceded,Goals Conceded per 90,xGC,xGC per 90,Own Goals,Penalties Saved,Penalties Missed,Yellow Cards),Red Cards,Saves,Saves per 90,Bonus,Total BPS,Influence,Creativity,Threat,ICT Index,Influence Rank (Position),Influence Rank (All),Creativity Rank (Position),Creativity Rank (All),Threat Rank (Position),Threat Rank (All),ICT Index Rank (Position),ICT Index Rank (All),Total Points,Transfers in (Round),Transfers in (Season),Transfers Out (Round),Transfers out (Season),Season Value (Points Per Million),Value (Form; Points Per Million),Form,Current Form Rank (All),Dream Team Count
42,Boubacar Kamara,Kamara,MID,Aston Villa,,0,1.6,142,305,,1.8,0.8,4,343,0,0,0,0,0.08,0.02,0.08,0.02,1,0.26,7,1.84,4.49,1.18,0,0,0,1,0,0,0,0,60,53.8,26.6,2,8.4,160,338,181,312,214,402,178,358,11,77,2813,99,1933,2.2,0.4,1.8,182,0
43,Kaine Kesler-Hayden,Kesler-Hayden,DEF,Aston Villa,Has joined Preston North End for the rest of the season,0,0,181,523,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,518,182,500,165,460,183,520,0,0,0,8,1543,0,0,0,445,0
44,Ezri Konsa Ngoyo,Konsa,DEF,Aston Villa,,7.8,2.3,59,201,,2.4,1.4,14,1181,1,0,0.59,0.04,0.36,0.03,0.95,0.07,1,0.08,22,1.68,16.04,1.22,0,0,0,0,0,0,0,3,159,223.2,61.5,73,35.8,54,136,63,242,47,197,58,199,32,3113,897327,12410,1328529,7.3,0.5,2.4,118,2
45,Ian Maatsen,Maatsen,DEF,Aston Villa,,1.4,0.9,148,447,,0.6,-0.4,2,282,0,0,0.08,0.03,0.87,0.28,0.95,0.31,0,0,6,1.91,4.25,1.36,0,0,0,1,0,0,0,0,40,65.2,130.1,54,25,112,321,31,152,67,228,82,258,12,292,71503,1675,298286,2.6,0.1,0.6,314,0
46,Filip Marschall,Marschall,GKP,Aston Villa,Has joined MK Dons for the rest of the season,0,0,59,519,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,514,37,496,27,456,59,516,0,0,0,0,66,0,0,0,441,0
47,Emiliano MartÌnez Romero,Martinez,GKP,Aston Villa,,12.1,2.8,24,146,,2.6,1.6,16,1395,0,0,0,0,0.01,0,0.01,0,2,0.13,24,1.55,18.66,1.2,0,1,0,1,0,38,2.45,2,174,348.4,0,0,34.9,13,37,69,670,67,666,13,203,45,10919,947808,16557,1088466,9,0.5,2.6,112,1
48,John McGinn,McGinn,MID,Aston Villa,,0.8,2.4,84,195,,3.6,2.6,12,976,0,2,1.87,0.17,1.62,0.15,3.49,0.32,3,0.28,17,1.57,12.99,1.2,0,0,0,2,0,0,0,1,140,99.2,250.1,147,49.8,127,278,44,56,68,105,78,132,33,1158,70631,1030,216040,6.3,0.7,3.6,68,0
49,Tyrone Mings,Mings,DEF,Aston Villa,,0.1,2,74,247,,0.4,-0.6,1,90,0,0,0.16,0.16,0.01,0.01,0.17,0.17,0,0,1,1,1.03,1.03,0,0,0,0,0,0,0,0,13,20.6,0.7,12,3.3,140,398,153,428,110,329,140,408,2,154,9822,318,10086,0.5,0.1,0.4,335,0
50,Kosta Nedeljkovi?,Nedeljkovi?,DEF,Aston Villa,,0.9,1,131,387,,0,-1,0,93,0,0,0,0,0.02,0.02,0.02,0.02,0,0,2,1.94,1.84,1.78,0,0,0,0,0,0,0,0,13,22.2,6.3,0,2.9,138,391,130,390,190,488,142,412,3,111,239646,1189,201179,0.8,0,0,472,0
51,Robin Olsen,Olsen,GKP,Aston Villa,,0.1,1,36,404,,0.2,-0.8,0,45,0,0,0,0,0,0,0,0,0,0,1,2,0.79,1.58,0,0,0,0,0,2,4,0,3,17.6,0,0,1.8,34,404,62,578,55,557,34,439,1,100,7335,186,10322,0.2,0,0.2,375,0
52,Pau Torres,Pau,DEF,Aston Villa,,1.5,1.9,79,259,,1.8,0.8,15,1350,0,0,0.28,0.02,0.33,0.02,0.61,0.04,2,0.13,24,1.6,18.42,1.23,0,0,0,1,0,0,0,0,146,210.6,50.8,52,31.4,61,148,73,266,69,233,69,223,28,570,222131,3099,226487,6.4,0.4,1.8,176,0
53,Jacob Ramsey,Ramsey,MID,Aston Villa,Hamstring injury - Expected back 21 Dec,0.2,2.2,99,225,,0,0,7,632,0,2,0.69,0.1,1.17,0.17,1.86,0.27,0,0,14,1.99,9.42,1.34,0,0,0,1,0,0,0,0,118,99.4,122.1,113,33.7,126,277,108,161,90,137,108,210,22,25,43578,302,61266,4.1,0,0,681,0
54,Morgan Rogers,Rogers,MID,Aston Villa,,20.3,3.8,28,63,,3.2,2.2,16,1311,4,2,3.11,0.21,2.47,0.17,5.58,0.38,2,0.14,19,1.3,16.23,1.11,0,0,0,4,0,0,0,6,202,282,328.9,288,90.1,27,80,29,35,24,39,22,32,61,9478,3013703,101443,1733293,11.3,0.6,3.2,89,1
55,Viljami Sinisalo,Sinisalo,GKP,Aston Villa,Permanent transfer to Celtic,0,0,54,510,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,505,31,486,21,446,54,507,0,0,0,1,63,0,0,0,431,0
56,Lino da Cruz Sousa,Sousa,DEF,Aston Villa,Loaned to  Bristol Rovers,0.1,0,189,533,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,528,189,509,174,471,191,530,0,0,0,59,17751,0,0,0,455,0
57,Youri Tielemans,Tielemans,MID,Aston Villa,,1.1,2.8,64,151,,2.2,1.2,16,1374,0,4,1.35,0.09,3.46,0.23,4.81,0.32,2,0.13,22,1.44,18.35,1.2,0,0,1,3,0,0,0,5,302,337.8,580.4,79,99.7,13,45,3,3,113,185,17,22,45,613,224416,3078,211609,8.2,0.4,2.2,147,0
58,Ollie Watkins,Watkins,FWD,Aston Villa,,18.3,4.9,9,26,,3.4,3.6,14,1125,7,3,8.42,0.67,1.08,0.09,9.5,0.76,4,0.32,20,1.6,14.02,1.12,0,0,0,0,0,0,0,11,272,324.8,161.8,580,105.5,7,51,11,120,3,6,5,19,78,5296,2580716,111489,4215957,8.8,0.5,4.6,40,3
233,Amadou Onana,Onana,MID,Aston Villa,,2.9,2.9,54,132,,0.2,-0.8,10,720,2,0,1.58,0.2,0.19,0.02,1.77,0.22,1,0.12,15,1.88,11.79,1.47,0,0,0,3,0,0,0,5,149,182.8,69.8,168,42.2,66,176,142,227,60,95,93,164,32,463,1423395,4732,1380828,6.5,0,0.2,384,0
569,Jaden Philogene,Jaden,MID,Aston Villa,,0,0.8,224,461,,0.8,-0.2,2,325,0,0,0.46,0.13,0.17,0.05,0.63,0.18,1,0.28,5,1.38,4.73,1.31,0,0,0,2,1,0,0,0,18,17.4,18.7,45,7.4,189,405,189,336,139,251,181,366,9,55,3009,87,8190,1.7,0.2,0.8,298,0
598,Lamare Bogarde,Bogarde,DEF,Aston Villa,,0.3,0.7,157,467,,0,-1,3,213,0,0,0,0,0.11,0.05,0.11,0.05,0,0,5,2.11,2.13,0.9,0,0,0,1,0,0,0,0,6,31.8,17.8,2,5.1,133,370,110,339,134,386,135,396,2,64,50884,365,39521,0.5,0,0,457,0
640,Sil Swinkels,Swinkels,DEF,Aston Villa,,0.1,0,188,532,,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,527,188,508,173,470,190,529,0,50,7270,96,4917,0,0,0,454,0
641,Oliwier Zych,Zych,GKP,Aston Villa,,0.7,0,65,535,,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,530,43,511,33,473,65,532,0,108,80554,657,31791,0,0,0,458,0
656,Kadan Young,Young,MID,Aston Villa,,0.2,0,278,639,,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,632,278,629,271,612,276,634,0,414,48368,726,31522,0,0,0,591,0
679,Ben Broggio,Broggio,MID,Aston Villa,,0,0,287,652,,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,646,287,643,281,627,285,648,0,39,610,34,258,0,0,0,604,0
